%time,field.layout.data_offset,field.data0,field.data1
4438000000,0,-0.0578150412996,-0.0556175766793
4480000000,0,-0.836974002765,-0.835242456963
4518000000,0,-1.5054252933,-1.50408320372
4551000000,0,-1.49084935637,-1.48983705419
4601000000,0,-1.3478652071,-1.34721551252
4641000000,0,-1.24080688072,-1.2404286854
4682000000,0,0.157543662309,0.157676063958
4725000000,0,1.32737402092,1.32730553989
4768000000,0,2.89356315267,2.89328131448
4803000000,0,4.31403372826,4.31356468111
4841000000,0,5.32908427426,5.32848145026
4879000000,0,5.27304080856,5.27229628628
4927000000,0,5.07946063415,5.07860514418
4958000000,0,3.32908031802,3.32815165927
4997000000,0,1.86238455402,1.86141416798
5037000000,0,0.63327016038,0.632264810148
5080000000,0,-0.267578643378,-0.268587654676
5121000000,0,-1.02963222939,-1.03064222525
5162000000,0,-0.78027773286,-0.781260356872
5197000000,0,-0.510551497217,-0.511507949803
5239000000,0,-0.280705935997,-0.281640087256
5280000000,0,-0.0136063563967,-0.0144989836841
5319000000,0,0.226706132864,0.225852064413
5359000000,0,1.63858522324,1.63777800787
5397000000,0,2.84192593584,2.84115806585
5442000000,0,3.96824919325,3.96751815101
5477000000,0,3.82686595384,3.8261637051
5516000000,0,3.6173230128,3.61664679424
5562000000,0,4.7548312989,4.75416307897
5602000000,0,5.99189438781,5.99123283894
5638000000,0,6.87623792418,6.8755811423
5679000000,0,5.7568832923,5.75615238781
5718000000,0,4.68913766818,4.68833968152
5761000000,0,2.92234518851,2.9214494448
5795000000,0,1.58855317199,1.58758453334
5831000000,0,0.0314851779973,0.0304314347404
5873000000,0,-1.57018160133,-1.57134885561
5918000000,0,-2.93864375948,-2.93990988552
5959000000,0,-1.88555100034,-1.886868566
6000000000,0,-0.912734409202,-0.914092859762
6035000000,0,-0.180657410874,-0.182046628469
6077000000,0,1.35865586849,1.35725321552
6115000000,0,2.7945131496,2.7931030828
6159000000,0,3.39311083761,3.39171296785
6200000000,0,3.75253713688,3.75115280575
6237000000,0,4.05073655306,4.0493634469
6277000000,0,4.06826986611,4.06694972633
6313000000,0,4.05976341395,4.05848859485
6361000000,0,2.87247610025,2.83442668054
6408000000,0,1.50030075567,1.4677681715
6439000000,0,1.02412283825,0.996422772988
6479000000,0,0.838105045171,0.814421038929
6528000000,0,0.650819664944,0.631179082076
6560000000,0,0.0596785700078,0.0422892287304
6599000000,0,-0.621764116715,-0.636631162912
6638000000,0,0.392623047654,0.379918490931
6679000000,0,1.33444808344,1.32358691534
6716000000,0,2.06241554092,2.05297918756
6749000000,0,2.95224146371,2.94423864333
6798000000,0,4.15788820699,4.15097385376
6838000000,0,5.15815771001,5.15214640882
6878000000,0,3.97063540871,3.96534063848
6921000000,0,2.9104611328,2.90577569852
6966000000,0,3.78640208368,3.78217318769
